agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_q50_b_fd_l4,0,qv22_0,22,237,True,1465.25,13.520301342010498,5 5 7 7 7 11 11 4 5 5 7 11 9 5 5 7 7 11 11 5 5 7 7 11 11 5 5 10 2 7 6 11 11 4 5 5 0 10 7 6 7 8 4 10 7 7 7 7 11 5 5 10 7 8 7 11 11 4 5 2 7 10 7 8 7 6 7 7 7 7 7 7 7 7 10 7 7 10 7 7 7 7 7 7 7 7 7 7 7 7 7 0 7 8 8 4 10 9 8 8 11 4 10 2 8 7 7 7 7 7 7 7 7 7 10 8 7 6 7 11 11 4 4 5 7 7 8 4 10 8 11 4 11 4 5 5 7 7 11 11 4 4 4 5 5 10 2 10 9 8 8 1 11 4 5 7 11 9 4 5 7 8 11 4 4 5 4 4 11 2 3 4 10 10 2 8 10 6 7 7 10 7 2 7 7 8 9 4 10 8 7 7 8 7 1 11 3 5 1 4 4 4 4 9 4 4 4 4 5 10 10 7 7 2 7 8 4 10 6 7 8 4 10 7 7 11 5 2 10 8 11 9 5 5 4 4 4 4 4 4 0 10 6 4 10 8 7 8 10 7 7 10 7 7 7 8 2 9 4 10 7 8 8 1 11 4 4 5 4 4 3 4 4 10 7 10 7 8 7 7 7 7 7 7 7 8 11 1 4 4 3 4 4 4 4 5 0 9 7 7 8 11 4 10 2 6 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 8 10 2 10 6 7 7 7 7 7 7 7 10 7 7 7 7 8 7 10 7 7 8 2 11 5 9 10 7 8 4 4 4 4 5 10 7 7 7 0 6 7 7 0 6 7 7 8 7 10 7 10 7 7 7 8 4 2 9 4 4 5 7 7 7 10 7 7 7 7 7 7 7 7 7 7 7 7 8 4 10 8 7 10 7 7 10 7 7 7 7 7 7 7 7 7 8 2 9 8 4 10 7 8 7 7 10 10 7 7 7 7 8 7 8 11 4 4 5 10 7 10 2 6 7 8 7 10 0 9 7 7 8 8 1 9 4 4 5 10 8 7 11 11 5 5 4 4 11 5 11 4 11 2 6 4 4 4 5 11 4 4 4 5 11 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 11 2 5 7 11 9 5 4 4 4 4 5 7 11 5 4 4 4 11 4 4 11 2 3 4 5 7 11 4 11 4 5 4 2 11 4 4 4 4 4 5 4 4 4 4 9 4 4 5 4 4 11 4 4 4 11 4 4 4 4 4 5 4 4 5 4 11 2 3 4 11 11 4 4 5 7 8 11 4 4 4 4 11 2 3 4 4 4 4 4 4 5 11 2 11 4 4 4 4 4 4 9 5 5 11 4 4 4 4 4 4 4 11 2 5 11 4 4 11 4 4 5 4 4 4 3 11 4 2 3 4 5 4 4 4 11 4 4 4 5 0 7 6 11 11 5 4 5 7 11 4 4 10 8 4 4 5 11 2 4 4 4 4 9 4 11 4 4 4 2 4 5 4 11 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 11 4 4 5 4 4 4 4 5 10 2 10 7 7 6 7 7 7 8 11 11 4 4 4 4 4 4 4 4 5 4 4 4 4 4 5 10 2 7 6 7 7 7 7 0 7 7 9 8 7 11 4 10 8 7 7 7 8 7 7 7 7 10 8 10 10 7 7 8 2 9 4 4 5 4 4 11 5 11 11 4 4 4 4 4 4 4 4 4 2 3 5 7 11 11 4 5 4 4 4 4 4 4 4 4 5 10 2 9 7 8 11 11 5 4 5 0 7 7 7 6 10 7 7 7 7 8 0 7 7 7 10 8 9 7 7 11 5 4 5 7 7 11 2 11 3 7 11 4 2 3 5 11 11 4 5 4 4 4 4 4 5 10 2 7 7 9 7 8 4 10 7 7 11 2 5 9 5 10 10 2 6 7 7 8 7 7 7 7 7 7 7 11 5 10 8 7 7 10 7 10 8 2 10 6 7 10 8 7 8 7 7 7 7 7 7 10 2 10 6 10 7 7 7 7 7 8 7 7 7 7 8 7 11 1 5 11 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 9 4 4 5 7 11 11 5 2 10 8 11 3 11 4 4 4 4 4 4 5 5 10 2 7 7 6 11 11 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 7 8 11 2 11 4 3 10 2 7 7 6 8 10 7 8 7 7 7 7 10 0 7 6 8 11 11 5 5 4 11 2 9 4 4 10 7 8 4 5 10 2 7 6 7 10 7 7 7 8 7 10 7 10 2 8 4 10 8 10 6 4 10 8 8 7 7 7 7 7 7 0 7 7 6 7 7 7 7 7 7 7 7 7 7 10 7 10 8 7 7 7 8 11 4 4 4 4 5 7 10 7 10 8 2 9 8 10 10 8 2 6 11 4 5 4 11 11 2 3 4 4 4 4 4 4 4 4 4 4 4 4 5 11 2 3 7 7 7 7 7 7 7 7 10 10 7 8 4 5 0 9 5 10 10 7 8 7 7 7 7 8 10 10 8 7 7 7 7 7 7 7 7 8 1 9 4 10 8 7 8 4 4 11 5 11 4 5 4 11 4 4 4 4 4 1 3 5 11 4 4 11 4 5 4 5 4 4 4 11 11 4 5 4 4 4 1 5 9 7 8 11 4 4 4 4 4 4 4 4 11 5 4 11 2 3 5 7 7 11 4 11 4 5 4 4 5 11 4 4 4 10 2 6 8 4 10 8 10 7 10 7 8 7 7 7 8 4 10 7 7 11 5 2 9 5 10 7 11 2 4 4 4 5 10 7 6 8 1 11 11 4 4 4 3 5 4 4 5 11 5 4 4 4 4 4 4 4 4 4 4 4 4 11 4 4 4 4 4 4 5 10 7 7 7 7 10 8 8 4 4 0 10 6 8 7 7 7 10 10 8 7 8 7 11 1 4 4 4 4 5 10 8 6 4 10 10 8 8 7 7 10 8 10 10 7 7 7 7 7 7 7 7 8 7 7 8 10 7 2 11 3 11 5 4 1 3 4 5 4 4 11 4 4 4 4 4 5 1 7 7 10 6 7 7 7 7 7 7 7 7 7 7 8 7 11 4 4 4 5 10 10 8 2 9 7 7 8 7 7 7 7 10 10 7 7 8 7 7 7 7 7 7 8 7 11 4 5 10 0 6 10 7 7 8 8 11 2 4 3 10 10 2 6 7 7 7 7 8 10 7 7 7 10 8 7 0 6 7 7 8 10 7 7 2 9 11 5 5 10 7 8 11 11 4 4 5 4 4 5 4 11 2 4 4 9 10 8 8 1 9 4 5 4 4 4 11 11 4 4 4 4 4 4 4 5 7 7 8 11 4 4 11 5 5 0 10 9 8 4 5 10 10 7 7 7 8 7 7 7 7 7 7 8 4 10 2 7 6 10 10 2 6 8 10 7 7 7 7 7 7 7 7 7 8 1 11 4 4 5 3 4 4 4 4 4 11 4 5 7 11 4 11 2 5 10 7 7 7 7 8 9 11 4 4 5 2 7 11 5 7 11 3 7 11 4 4 4 4 4 4 4 4 5 2 11 11 3 4 5 4 4 4 4 4 4 4 4 4 5 11 2 11 9 5 4 4 5 4 11 5 0 6 7 11 11 2 3 4 4 4 5 11 4 4 4 4 4 4 5 1 4 4 4 4 4 3 4 4 4 4 4 1 11 3 5 10 10 8 2 11 5 4 11 3 4 4 4 4 4 4 4 11 4 4 4 5 4 4 4 4 1 4 4 4 3 5 1 4 9 4 11 4 4 4 4 4 4 2 4 5 3 10 10 8 2 9 4 5 10 10 7 7 7 7 7 7 7 8 0 6 7 7 7 7 8 7 7 7 10 7 7 10 2 8 11 9 4 4 5 5 11 11 5 4 5 4 4 4 4 4 4 4 4 4 11 11 5 4 4 4 4 4 4 5 1 9 8 11 4 4 10 2 8 9 4 10 7 7 2 6 8 7 7 7 7 10 7 8 10 7 7 7 7 7 7 7 7 7 7 7 8 7 10 10 7 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 10 7 7 8 11 2 11 11 5 5 7 7 7 7 7 7 6 10 0 7 6 7 7 7 8 7 10 7 7 8 10 8 7 11 11 2 5 11 11 5 5 3 11 11 4 4 4 4 5 2 9 7 11 5 4 5 4 4 4 11 4 4 4 5 4 4 4 11 11 4 4 7 7 2 4 4 4 4 4 4 4 4 4 4 4 5 11 11 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 4 4 4 9 5 4 4 5 7 11 11 2 5
ppo_q50_b_fd_l4,1,qv22_1,22,232,True,1369.5,8.79625129699707,5 5 7 11 9 5 5 7 7 11 11 5 5 7 10 8 11 4 11 5 5 7 7 11 11 5 5 7 7 11 11 5 5 10 7 11 4 5 5 10 7 8 11 11 4 5 5 0 10 7 7 7 6 8 4 4 10 10 8 7 8 4 10 7 7 8 7 7 7 7 11 11 2 5 3 7 11 11 2 5 7 11 4 4 3 11 4 4 4 4 5 5 7 7 11 11 4 5 5 10 2 9 7 11 4 5 5 7 7 11 11 5 5 0 9 7 8 11 4 5 4 10 7 10 7 8 8 4 4 10 10 7 8 2 4 10 7 6 7 7 8 1 3 4 4 10 7 10 7 2 6 7 7 8 11 4 5 10 10 2 6 7 7 8 7 7 1 3 4 10 7 11 2 3 4 4 4 4 4 4 5 7 7 11 2 11 3 7 11 4 4 5 4 4 5 0 7 6 10 8 11 4 4 10 2 6 7 7 7 7 8 7 7 10 8 11 2 7 7 9 10 7 8 8 4 10 2 6 7 7 7 11 11 4 4 4 4 4 4 5 5 7 11 4 4 4 11 4 4 5 4 4 4 5 10 2 7 10 6 7 8 1 4 10 9 8 8 4 10 7 7 7 8 7 7 7 7 10 7 10 7 7 8 2 7 7 7 7 10 7 7 7 7 7 7 7 7 7 7 7 7 10 7 7 7 7 7 8 7 6 7 7 8 4 0 9 7 7 8 7 11 11 7 2 6 7 7 7 8 4 10 7 7 0 7 10 7 8 8 4 10 8 4 10 8 10 7 7 7 7 7 7 8 7 11 11 4 4 4 4 4 4 4 4 3 5 4 5 10 2 7 7 7 7 11 6 11 4 4 4 5 5 7 7 7 11 11 4 4 5 5 7 0 6 7 11 4 5 7 11 11 5 4 4 4 4 11 4 4 5 5 10 7 8 11 11 4 5 5 10 0 8 6 7 7 7 7 10 8 7 7 7 7 10 8 7 7 7 10 8 7 7 7 7 7 7 10 8 11 4 4 11 4 4 5 4 4 4 2 9 4 4 5 7 11 11 4 4 4 4 5 4 5 10 2 10 7 7 6 8 11 11 4 4 4 4 4 5 4 5 11 11 5 5 0 7 6 7 10 8 4 10 10 8 4 4 4 5 10 7 7 7 2 6 11 11 2 5 7 11 9 5 4 5 11 2 4 10 3 5 4 4 4 4 4 4 11 11 5 0 8 6 7 7 7 10 7 7 7 7 7 7 8 11 2 11 4 9 8 7 7 7 7 7 7 8 10 2 3 10 10 7 2 8 4 10 9 8 7 7 8 11 4 4 1 3 4 4 4 4 5 7 11 4 4 1 4 5 4 4 4 4 4 3 4 4 4 4 1 3 4 4 4 4 4 4 4 11 4 11 1 5 3 5 7 10 7 8 11 11 2 5 11 11 4 4 4 4 5 4 5 9 4 4 5 0 7 7 7 7 7 7 7 7 7 7 6 10 7 7 7 7 8 10 7 7 7 7 7 7 0 6 7 7 7 7 7 7 7 7 10 7 7 8 7 8 11 2 9 5 4 11 4 5 4 4 4 4 4 4 4 4 11 4 11 4 4 4 1 4 3 4 4 5 5 10 7 11 2 5 7 6 11 11 5 5 7 11 11 5 4 4 4 4 4 4 4 1 4 3 4 4 4 4 5 0 7 10 7 7 7 6 8 11 11 4 5 7 2 11 4 4 3 7 11 5 4 1 3 5 0 9 7 8 4 10 7 7 7 7 8 11 4 4 4 10 2 8 11 5 10 7 7 7 6 7 7 8 7 7 7 7 10 10 8 2 10 6 7 7 7 7 7 7 7 7 8 7 10 2 7 7 6 7 7 7 7 7 7 7 7 10 10 7 7 7 7 7 8 4 5 11 2 4 9 5 4 10 7 11 2 3 5 4 4 4 4 4 4 4 4 4 4 4 11 5 10 8 11 4 4 4 4 4 4 4 4 4 1 4 4 3 4 5 4 11 11 4 4 4 4 4 4 4 5 5 7 11 4 5 4 11 4 4 4 4 5 10 10 8 2 9 7 10 8 8 11 1 5 4 4 4 4 4 4 3 4 4 4 4 11 4 4 5 7 10 10 2 8 11 5 3 10 10 8 7 7 7 2 7 10 7 7 7 8 10 10 7 6 8 7 7 7 7 8 10 7 8 10 7 7 7 7 8 7 7 10 10 8 2 4 10 7 6 8 11 11 2 5 7 11 3 5 4 4 4 4 4 4 4 4 4 11 4 4 4 11 5 2 3 10 7 7 7 7 7 7 8 11 5 7 11 11 2 5 7 7 7 6 7 7 7 7 7 7 7 7 10 0 7 7 8 9 11 5 5 10 2 9 7 11 5 5 7 11 4 4 4 4 4 5 10 10 7 7 7 8 7 7 7 8 7 7 7 7 7 10 7 8 7 0 9 5 7 7 11 11 5 4 5 4 4 4 4 4 4 4 4 4 4 11 4 4 4 4 4 5 4 4 1 3 4 4 11 5 1 9 5 11 4 4 11 4 2 3 4 5 0 9 7 10 7 7 7 7 7 7 2 8 10 7 7 9 8 7 8 7 10 7 8 4 4 10 10 8 2 10 10 8 8 7 7 7 7 7 7 7 7 7 6 7 7 10 7 7 8 7 0 7 7 7 7 6 7 7 7 10 8 7 7 10 10 2 8 7 11 4 4 4 3 4 4 4 5 4 4 4 4 4 11 11 5 5 11 4 4 4 4 10 8 2 11 5 4 4 4 4 4 4 4 11 9 5 4 5 7 10 2 9 10 8 4 4 5 10 8 4 4 4 11 11 4 4 4 4 4 5 4 4 4 1 4 9 5 4 4 5 7 11 1 9 5 7 8 11 11 4 4 5 4 5 7 0 7 7 11 4 5 9 10 7 7 8 4 5 0 9 7 7 8 7 7 7 7 10 7 7 7 7 10 8 2 6 10 7 7 8 4 10 7 10 8 2 10 7 7 7 7 7 7 10 7 7 8 6 7 8 10 7 8 4 4 10 10 8 2 9 4 5 7 7 11 11 5 2 9 7 8 11 11 5 4 5 0 7 7 7 7 6 7 7 7 7 7 10 7 8 0 9 5 4 10 10 8 7 8 4 10 10 8 7 8 11 1 4 3 4 4 4 4 4 4 5 10 7 11 5 4 4 4 4 2 4 11 4 5 11 11 5 4 4 4 4 5 4 4 4 4 4 4 3 11 4 4 5 7 11 4 5 4 4 4 10 7 11 5 5 11 4 11 5 5 11 5 10 8 7 11 11 5 2 3 10 10 7 7 7 7 7 2 6 7 7 7 8 7 11 4 10 7 8 7 8 4 10 8 7 7 7 11 11 5 2 9 7 8 4 4 10 10 8 7 7 7 7 7 7 7 7 7 7 7 8 4 4 10 10 2 8 4 10 9 7 8 8 10 7 7 7 10 0 8 6 7 7 7 8 10 7 8 1 4 3 10 10 8 7 8 11 4 4 10 2 7 6 7 7 8 10 7 7 2 7 7 7 6 7 7 7 10 7 8 7 11 11 5 5 7 7 11 11 5 2 4 4 11 9 5 4 4 4 4 4 4 4 4 4 5 4 4 4 11 4 4 4 4 1 4 5 11 4 4 3 4 4 4 4 4 5 11 11 4 4 4 4 4 4 4 4 4 5 5 7 11 4 11 2 3 4 5 11 4 1 4 4 4 4 4 3 4 11 5 4 4 5 4 1 4 4 3 4 4 10 8 10 10 8 8 7 7 11 2 11 4 4 4 3 4 4 4 4 4 4 4 4 4 4 5 10 2 6 10 10 7 7 7 7 8 8 4 4 4 4 4 4 4 4 4 4 4 4 4 11 4 4 4 4 4 4 4 4 4 4 5 4 11 11 2 4 5 4 3 11 11 5 4 4 4 4 4 4 5 0 10 7 7 7 7 7 7 6 7 7 8 11 2 11 3 11 4 4 4 4 4 5 5 7 7 1 11 9 4 5 5 7 7 11 4 5 0 10 7 7 8 6 11 11 5 5 7 7 11 2 11 3 7 11 5 4 4 5 11 11 4 4 4 4 4 4 4 4 4 2 3 4 5 7 7 11 11 5 5 11 11 4 4 4 4 4 2 3 4 4 4 4 4 4 4 4 5 7 11 4 11 4 4 4 2 4 4 4 4 4 5
ppo_q50_b_fd_l4,2,qv22_10,22,229,True,1404.75,13.06692385673523,5 5 7 11 9 4 5 7 8 11 11 5 5 7 7 11 11 4 5 7 8 11 11 5 5 7 7 11 11 5 5 7 7 11 11 4 5 7 8 11 11 5 5 10 0 7 6 7 7 7 7 7 7 7 7 7 7 8 7 7 11 11 4 5 2 7 10 7 8 7 7 7 7 10 7 7 7 7 7 7 7 7 7 7 7 7 7 10 7 7 7 7 7 7 7 7 7 8 4 5 10 10 8 8 4 4 10 9 7 8 8 11 2 4 11 3 7 11 5 2 10 7 8 10 9 8 7 8 4 0 9 7 10 7 8 8 4 4 10 10 8 8 4 4 10 10 8 8 7 7 7 7 7 7 7 7 11 11 4 4 2 5 7 11 11 5 5 11 4 5 7 11 9 5 5 7 7 1 11 4 4 4 3 5 7 7 11 11 5 2 4 4 11 9 5 7 8 7 7 11 5 1 4 3 10 10 7 7 7 7 7 7 8 7 8 4 10 7 7 8 4 10 10 2 8 7 10 8 6 11 11 5 2 11 4 4 4 4 3 4 4 4 5 4 11 4 4 10 2 8 6 7 10 7 7 7 7 7 8 11 4 2 11 4 3 4 4 4 4 11 5 4 5 4 4 4 4 10 10 8 2 9 7 7 8 11 4 10 8 7 7 7 7 7 7 10 2 6 7 7 7 7 7 7 7 7 7 8 7 11 2 4 3 4 11 5 7 11 11 4 4 5 4 4 5 10 2 10 7 7 7 7 7 8 7 7 10 10 8 6 7 7 7 8 1 11 4 4 4 4 4 4 5 3 7 11 4 10 2 3 4 5 7 11 4 2 4 10 9 5 5 4 4 11 4 4 4 4 4 4 4 4 11 4 5 2 10 7 8 4 7 4 10 7 7 10 7 7 7 7 8 7 8 7 9 7 10 2 6 8 7 10 7 7 11 2 5 10 7 7 8 10 7 6 10 8 8 7 7 7 7 7 7 7 7 7 7 10 10 7 8 7 7 7 7 7 7 7 7 7 7 8 7 0 9 5 10 7 10 2 8 9 4 5 7 7 10 7 10 8 2 9 4 5 10 7 7 7 7 10 2 6 7 7 7 8 10 8 7 7 7 7 7 7 10 7 10 7 7 7 7 7 7 2 6 8 7 7 7 7 7 7 10 10 7 2 6 7 8 7 11 4 10 8 7 7 8 0 9 10 8 8 7 7 7 7 7 7 10 7 7 8 7 1 11 4 3 5 10 10 8 2 4 10 9 7 8 7 7 7 7 8 7 7 7 11 2 11 11 4 4 4 4 4 4 5 4 4 4 5 11 3 11 4 2 3 4 4 4 4 4 5 7 11 4 4 4 4 1 4 5 7 11 3 10 8 8 7 7 7 0 9 8 4 10 7 10 8 4 4 5 10 7 7 8 7 7 7 7 7 10 8 4 10 10 2 6 8 11 11 4 5 4 4 4 4 4 4 4 1 3 4 5 7 7 7 11 4 11 5 5 7 7 11 4 4 5 11 11 5 4 4 4 4 4 4 4 4 4 4 4 4 4 11 5 4 4 5 10 2 3 4 4 11 11 4 4 5 0 7 7 7 9 8 8 7 7 7 10 10 8 2 9 4 4 4 5 4 10 7 11 5 4 4 4 4 4 4 4 4 4 4 5 7 11 4 4 11 5 2 10 6 7 7 8 7 7 7 1 11 3 11 5 4 11 4 5 4 4 4 4 11 4 4 5 4 5 7 11 2 9 11 5 4 5 10 7 11 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 11 4 11 4 2 3 4 4 4 4 4 4 4 4 5 10 2 10 7 7 7 6 7 7 7 7 7 7 7 7 7 11 5 2 10 7 8 7 7 7 7 7 7 7 7 10 10 7 7 7 7 7 7 8 7 8 7 6 7 7 10 7 7 8 7 11 1 9 5 4 4 4 5 4 10 0 7 8 7 10 6 4 10 2 6 7 7 7 7 7 8 7 7 7 10 7 7 7 7 7 7 7 8 11 4 4 4 11 2 5 11 5 4 3 4 4 4 4 4 4 4 11 4 5 7 7 11 2 11 4 3 11 4 5 5 10 7 8 11 11 5 2 9 7 8 11 4 10 8 7 8 4 10 10 8 7 8 7 7 7 10 8 11 5 10 7 10 8 7 7 8 0 6 7 7 10 7 10 7 8 2 9 4 4 5 4 4 4 4 4 4 4 4 4 11 5 0 7 6 10 10 8 2 9 10 7 8 8 10 10 8 7 8 7 10 7 7 7 7 7 0 7 7 8 6 7 7 7 7 7 7 7 7 7 10 8 4 10 10 8 7 7 7 7 7 8 7 7 11 1 4 4 4 4 4 3 4 4 4 5 0 9 8 7 10 10 7 7 7 0 7 6 8 8 4 4 10 10 8 8 11 2 11 5 7 7 6 7 0 7 6 7 7 7 10 10 8 2 6 11 4 5 7 11 4 11 5 4 4 4 5 7 1 3 4 10 7 8 11 11 5 4 4 5 11 11 4 2 5 11 5 10 7 7 6 8 11 11 4 2 5 10 7 6 7 7 7 7 7 7 7 8 7 7 10 10 7 2 7 8 10 7 7 10 7 8 7 8 11 5 4 4 4 4 9 4 4 4 5 7 11 4 5 7 11 4 11 5 4 4 4 5 11 2 7 7 7 6 11 11 4 5 4 5 4 11 11 5 4 5 7 11 5 4 1 4 9 4 4 4 4 4 11 4 4 4 4 4 4 4 5 4 4 4 4 5 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 10 7 7 8 7 11 2 11 7 7 6 7 7 7 7 8 7 7 10 10 8 2 4 10 9 8 7 7 7 7 7 8 4 10 2 7 7 7 6 7 7 7 7 7 7 7 7 7 7 10 7 10 7 7 7 7 7 8 7 7 7 10 8 8 11 2 4 9 10 8 8 4 11 4 5 4 10 10 8 8 4 10 10 2 8 9 4 10 8 7 8 10 8 1 4 4 4 4 4 9 5 7 11 4 11 2 3 5 10 10 2 7 7 6 8 10 10 7 7 8 7 7 7 7 7 7 7 7 7 7 8 4 10 7 7 7 7 7 8 11 11 5 7 1 4 4 5 4 11 4 11 5 3 5 11 4 11 5 4 5 0 7 7 6 7 7 7 7 10 8 4 10 2 10 9 8 4 4 4 5 10 7 7 7 8 4 10 0 7 7 6 8 11 11 5 5 10 2 3 4 4 11 4 4 4 4 4 4 4 4 4 11 5 1 4 3 4 4 5 10 2 4 3 10 7 7 7 10 8 8 4 11 5 10 7 10 7 7 7 7 7 2 6 7 7 8 11 4 10 7 8 2 9 7 8 11 4 4 10 7 2 6 7 7 7 7 7 7 8 10 2 10 6 10 7 7 7 7 7 7 7 8 7 8 7 7 7 7 7 7 10 0 7 7 8 6 7 11 11 4 5 2 7 11 9 5 5 10 0 8 10 7 6 7 7 7 8 7 7 7 7 10 10 7 7 8 7 8 0 9 7 7 7 7 7 8 7 11 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 10 7 8 8 4 10 10 2 8 4 10 9 8 7 7 8 7 10 2 4 3 11 4 11 4 4 4 2 3 4 5 7 7 11 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 1 4 4 4 4 4 4 11 5 10 8 4 10 7 9 8 8 11 4 5 4 4 4 4 11 4 5 11 2 4 3 10 10 7 7 8 8 4 4 10 10 8 2 10 8 4 10 7 7 10 6 7 7 8 8 4 4 10 10 2 6 8 11 4 5 10 10 8 7 0 8 9 11 5 5 7 7 11 11 4 2 3 4 4 4 4 4 5 7 11 11 4 4 4 4 2 3 4 4 5 4 4 11 4 4 4 11 2 5 11 3 7 11 5 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 11 4 5 7 11 4 4 11 4 4 5 2 9 7 8 7 1 4 4 11 11 4 4 4 3 4 5 4 4 4 4 4 4 4 4 5 4 10 2 7 9 11 5 5 10 10 7 7 7 7 0 7 8 7 7 7 8 7 7 7 10 7 7 10 7 8 7 7 7 7 7 8
