agent,env,problem_name,ion_count,op_count,solved,duration,compile_time,actions
ppo_x50_b_fd_l4,0,qv14_0,14,96,True,409.0,1.028503656387329,8 8 9 10 8 8 10 10 8 8 11 5 10 10 7 8 8 11 5 10 10 7 8 8 11 5 7 11 4 1 3 10 8 8 11 2 11 9 5 4 5 4 11 2 11 9 5 5 0 7 7 9 7 8 4 11 5 10 10 7 7 7 7 7 8 8 10 10 8 8 11 5 4 11 5 7 10 10 7 8 5 4 4 11 2 9 11 5 5 4 4 10 2 10 6 10 8 8 10 10 8 2 10 8 9 4 4 5 4 4 10 11 4 5 5 7 11 5 4 4 11 5 10 8 0 10 9 8 7 7 7 7 7 8 7 7 11 2 11 11 5 5 9 5 11 4 5 11 4 11 2 5 10 7 10 8 6 8 11 5 10 1 9 5 5 11 11 1 4 4 5 3 5 7 10 8 11 11 5 2 10 8 10 9 8 8 11 2 9 10 8 8 7 10 2 10 10 7 8 8 9 5 10 10 2 6 7 8 11 2 9 11 5 4 5 11 4 4 1 4 3 5 10 10 8 8 11 5 4 4 11 11 5 5 7 7 10 2 10 6 8 7 7 7 10 8 11 5 10 10 7 8 2 11 5 9 5 4 4 4 4 4 11 11 2 3 5 10 7 8 10 10 2 6 7 8 7 7 7 7 10 8 4 10 2 9 8 11 11 5 5 11 2 4 9 5 4 4 0 10 9 8 8 10 10 8 8 11 5 4 11 5 1 3 4 4 11 11 4 4 5 2 9 7 8 10 8 7 10 7 10 7 8 8 10 10 8 7 7 8 11 2 6 11 11 4 5 8 11 2 9 5 4 4 11 11 2 3 5 10 2 11 11 5 5 4 4 3 10 10 8 8 7 7 7 10 8 10 10 2 7 6 8 4 10 2 10 9 8 8 10 2 6 11 11 5 5 11 11 5 2 4 4 9 5 11 11 2 5
ppo_x50_b_fd_l4,1,qv14_1,14,91,True,387.0,1.1829032897949219,8 8 9 10 8 8 10 10 8 8 11 5 10 10 7 8 8 11 5 10 10 7 8 8 10 10 8 8 11 5 4 10 10 8 8 10 10 7 8 5 4 11 2 9 5 11 11 5 4 4 4 5 11 11 2 5 3 10 7 8 10 10 8 2 6 7 10 8 7 10 10 8 2 9 8 4 4 4 4 1 4 11 4 5 9 10 8 8 4 4 11 2 11 11 4 5 5 9 8 7 7 10 7 10 8 7 10 8 8 11 2 3 10 10 2 8 9 5 10 7 7 7 10 8 2 9 5 11 11 4 5 5 10 8 11 1 11 5 3 5 4 10 2 10 9 8 8 10 2 11 11 5 5 9 11 5 5 10 2 11 11 4 5 5 9 5 10 8 10 8 4 4 4 10 10 7 8 7 7 7 7 8 7 7 11 11 5 5 10 2 6 10 7 7 8 11 2 9 11 4 4 4 5 5 4 4 4 11 5 0 10 8 10 7 6 10 8 7 7 8 11 2 9 11 5 4 5 10 2 7 11 11 3 4 4 5 8 7 11 5 11 11 5 2 9 4 5 7 10 7 8 10 10 2 6 7 7 8 11 5 7 0 6 7 7 11 11 5 2 9 5 11 11 5 2 9 8 4 11 11 5 2 9 5 4 11 4 11 4 5 5 0 9 8 10 7 10 2 8 6 10 8 7 10 7 10 7 8 5 1 9 5 10 11 4 5 5 11 11 5 1 5 4 10 9 8 8 11 2 11 3 11 4 5 5 10 8 11 11 2 5 9 8 10 10 8 8 10 10 7 0 8 6 7 7 8 10 10 8 8 11 5 7 7 11 11 5 2 3 11 5 7 11 11 4 5 5 10 8 11 11 5 5 11 11 2 5
ppo_x50_b_fd_l4,2,qv14_10,14,92,True,383.0,1.0502712726593018,8 8 10 10 8 8 10 10 8 8 9 5 11 10 7 8 8 11 2 11 5 7 10 10 7 8 8 10 9 8 8 11 2 9 11 4 5 8 11 2 11 3 5 4 4 4 4 4 10 10 7 8 8 10 7 7 7 7 8 10 2 7 10 10 8 8 4 4 9 5 4 4 11 4 4 4 4 11 2 5 9 8 11 5 10 10 7 8 8 10 10 2 8 9 5 7 10 10 8 8 11 4 4 2 9 11 5 5 11 5 4 11 11 2 3 5 10 8 10 10 7 7 8 8 11 5 7 10 10 8 7 7 7 7 8 11 2 11 11 4 5 5 10 8 11 9 5 5 4 4 11 5 1 4 11 4 5 3 7 7 10 10 8 8 10 10 2 8 10 6 8 10 10 8 7 7 8 10 2 11 9 5 5 10 8 11 11 2 5 11 11 5 4 3 4 5 7 10 8 0 7 10 6 8 11 11 5 5 10 8 11 11 4 1 4 3 5 5 10 8 11 11 5 4 5 7 11 11 5 2 9 8 11 11 5 5 7 7 0 6 10 8 11 10 7 8 8 11 5 7 7 10 8 7 7 7 11 11 2 5 11 5 4 9 5 4 11 11 5 5 4 4 11 4 5 10 10 2 8 9 5 10 10 7 8 8 7 7 10 8 11 10 8 8 1 3 4 11 5 4 10 11 2 3 5 11 11 5 2 3 4 10 10 8 7 8 7 7 10 8 11 5 10 10 7 7 8 7 8 11 10 2 8 6 11 11 4 5 5 1 9 8 11 5 11 4 11 4 5 2 9 5 11 11 5 2 9 8 10 10 8 8 10 10 2 8 10 10 7 6 8 8 10 7 8 11 11 2 5 11 11 5 5
ppo_x50_b_fd_l4,3,qv14_11,14,90,True,388.0,1.3061645030975342,8 8 10 10 8 8 10 10 8 8 9 5 10 10 8 8 10 10 8 8 11 5 4 11 5 7 10 10 2 6 8 10 10 8 8 10 2 9 10 8 8 4 11 1 5 9 5 4 4 4 11 11 5 5 1 11 9 5 5 7 11 10 8 8 11 0 9 8 8 7 10 8 10 10 7 8 8 7 7 11 2 9 11 4 2 3 4 4 4 5 11 11 4 4 4 4 5 2 9 7 8 7 10 7 11 5 5 11 5 7 7 7 7 10 8 7 7 10 10 2 8 9 7 8 11 5 11 4 4 4 11 5 5 4 11 11 2 3 5 7 10 2 9 8 10 10 8 8 7 10 8 7 7 7 11 11 5 5 4 4 11 5 10 8 11 2 11 3 11 4 4 4 4 4 5 8 10 2 3 10 8 7 11 11 5 2 9 5 7 10 7 8 7 7 10 10 7 8 8 10 7 8 11 11 5 2 9 11 5 5 11 5 11 11 4 5 4 4 5 11 11 2 5 10 8 7 10 10 8 8 6 7 7 7 0 7 10 8 7 6 11 11 5 5 11 11 5 2 9 5 0 9 8 11 11 4 5 8 4 11 4 5 7 11 5 11 11 2 5 9 11 5 5 10 8 10 7 7 7 10 8 8 7 10 7 8 11 2 11 9 5 5 10 8 7 7 11 11 5 5 4 11 4 5 4 11 11 5 2 11 9 5 5 11 2 3 10 10 7 8 8 10 10 7 8 8 11 10 8 8 10 7 8 7 7 11 11 5 2 3 11 5 11 5 4 11 11 2 5 11 4 5 3 10 10 7 8 7 8 10 10 8 7 8 10 8 11 11 2 3 5 11 4 4 5 4 10 10 2 8 7 7 10 10 8 7 6 8
ppo_x50_b_fd_l4,4,qv14_12,14,92,True,377.0,1.0499074459075928,8 8 10 9 8 8 11 5 10 10 8 2 10 10 8 8 9 10 8 8 11 5 11 5 10 10 7 7 8 8 11 5 10 10 8 2 9 10 8 8 10 10 7 8 5 11 4 5 11 2 4 10 9 8 8 10 2 9 11 5 4 4 5 7 7 10 8 7 7 11 11 5 5 4 4 11 5 4 4 4 11 4 5 4 0 10 9 8 8 10 8 10 7 8 10 10 8 8 11 2 9 10 8 8 11 5 4 4 11 11 5 2 9 8 11 11 4 5 5 10 8 11 2 9 11 5 5 7 0 6 7 10 7 8 11 5 7 7 10 7 10 8 8 10 7 8 11 1 9 8 5 10 8 4 4 4 4 11 5 4 11 5 4 11 4 11 2 5 7 10 10 8 8 9 5 10 10 8 7 8 7 11 11 5 2 6 4 11 5 11 1 9 5 4 5 4 10 2 10 10 8 7 8 9 5 7 10 7 10 7 7 8 7 8 10 2 9 11 5 5 4 4 1 4 9 5 11 11 2 5 9 8 4 11 4 11 2 4 5 9 8 10 10 7 8 8 10 10 7 7 8 8 11 5 10 7 2 7 6 7 7 11 11 5 2 9 5 11 4 5 10 10 8 2 9 8 4 10 8 11 11 1 5 3 5 4 4 4 4 11 5 7 11 11 5 5 10 8 10 10 2 7 8 9 7 8 11 10 7 8 8 10 7 8 11 1 4 3 5 11 4 11 5 2 6 4 11 4 11 5 2 4 10 10 8 8 9 8 10 10 0 6 8 8 11 5 10 10 7 7 8 8 0 9 5 10 10 8 8 10 10 8 2 9 5 11 11 5 5 11 11 5 5 11 11 2 5
ppo_x50_b_fd_l4,5,qv14_13,14,87,True,379.0,1.0001511573791504,8 8 10 9 8 8 10 10 8 8 11 5 7 10 10 8 8 10 10 8 8 11 5 10 10 7 7 8 5 4 10 2 9 11 5 4 4 5 4 4 10 2 10 10 6 8 7 8 10 10 8 2 10 10 7 8 8 9 5 11 4 4 4 5 11 11 2 3 4 4 4 5 11 2 9 11 5 5 7 10 7 8 11 11 5 5 10 8 10 8 7 7 10 8 10 10 2 6 7 8 10 2 9 10 7 8 5 1 9 4 5 10 8 11 11 4 5 4 4 5 11 4 11 5 2 11 3 11 4 5 8 7 11 2 9 5 10 10 8 7 8 7 7 10 8 7 7 7 10 2 7 6 11 11 5 5 11 11 4 5 5 11 11 2 5 9 8 11 11 4 5 8 11 2 10 10 8 6 7 7 8 10 7 8 10 10 2 6 8 11 5 11 11 4 4 5 1 3 4 5 11 11 2 3 5 11 2 4 3 10 10 8 7 7 7 8 7 1 3 4 11 5 11 4 5 4 10 10 2 7 8 10 7 10 7 6 7 8 5 7 11 2 11 11 5 5 10 8 10 10 8 6 8 10 10 7 8 2 9 5 4 4 11 4 5 7 10 11 2 3 5 4 4 4 4 11 5 0 9 8 10 10 8 8 10 7 7 7 7 8 7 11 11 5 2 11 4 5 11 9 5 5 10 0 6 8 7 10 8 10 2 11 11 3 5 5 11 11 2 5 11 9 4 5 8 11 4 5 11 11 5 4 5 11 2 10 10 7 8 6 7 8 0 6 10 7 8 7 7 10 8 7 11 11 2 5 9 5 11 11 4 5 4 5 10 7 8 11 11 2 5 11 11 5 5 11 11 5 5
ppo_x50_b_fd_l4,6,qv14_14,14,92,True,383.0,1.4663326740264893,8 8 10 10 8 8 10 10 8 8 9 5 10 10 8 8 7 7 10 10 8 8 11 5 10 7 10 8 8 4 4 11 2 9 4 11 4 5 5 10 8 10 8 4 10 10 8 8 11 5 11 11 4 5 4 4 5 11 5 10 10 2 6 8 11 5 7 10 10 8 2 7 7 7 10 8 10 6 10 8 2 9 8 4 4 4 11 4 4 11 5 4 4 5 11 11 2 4 5 9 8 10 7 10 7 2 6 7 8 11 4 5 7 7 10 10 8 2 9 5 7 7 7 10 10 8 2 6 4 11 5 11 11 5 5 4 11 4 4 4 5 10 2 10 9 8 8 11 4 5 11 2 9 11 5 5 0 9 7 8 11 5 10 10 7 7 7 7 8 8 11 5 4 11 5 10 10 8 2 9 10 8 8 10 7 7 8 11 4 4 4 5 10 7 8 10 10 7 2 8 6 11 5 4 11 4 11 5 2 9 4 5 4 4 4 11 5 4 10 10 8 2 10 8 10 9 8 7 7 8 11 2 11 11 4 5 8 11 4 5 9 5 11 11 2 5 9 8 10 0 7 6 10 8 7 8 7 7 10 7 7 7 8 4 11 2 9 11 5 5 11 5 10 10 8 8 4 11 5 11 11 5 5 10 2 9 11 5 5 4 11 5 7 11 2 11 9 5 5 10 7 8 10 8 7 7 7 7 11 11 5 4 4 5 4 4 11 2 11 9 5 5 7 10 0 9 8 8 10 0 9 8 8 7 7 7 10 2 7 6 7 11 11 5 2 9 5 11 5 11 11 5 2 9 5 10 7 7 8 11 11 4 4 4 5 5 10 8 11 11 5 5 11 11 4 5 2 11 5 10 10 8 8
ppo_x50_b_fd_l4,7,qv14_15,14,88,True,371.0,1.0278573036193848,8 8 10 10 8 8 10 10 8 8 9 5 10 10 8 8 11 2 3 11 5 7 10 10 7 8 8 10 10 7 8 1 5 9 5 11 11 5 5 7 7 11 5 11 4 5 4 11 11 4 2 5 9 8 11 11 5 2 3 10 7 8 10 8 7 10 10 7 8 2 10 8 9 11 5 4 4 5 10 8 11 11 4 5 4 5 10 8 11 11 2 5 3 10 8 10 10 7 7 7 7 7 7 7 7 8 8 4 11 5 4 10 2 9 11 5 5 10 8 4 11 5 4 11 11 2 5 9 5 4 10 11 5 5 4 10 10 2 8 9 8 10 7 8 10 10 7 0 7 7 6 7 8 8 11 5 10 10 2 8 11 5 11 9 5 5 4 11 5 11 4 4 4 4 5 1 3 10 10 8 8 10 8 10 10 7 7 7 7 8 7 8 11 4 5 11 5 10 10 2 8 3 4 4 11 5 11 4 5 11 11 2 5 7 10 6 8 10 7 7 2 7 7 6 7 11 11 5 2 9 4 5 10 8 11 11 5 5 11 4 4 4 1 3 4 5 11 2 3 10 10 2 6 7 8 11 5 10 7 7 11 5 5 10 7 8 10 7 7 10 8 2 6 11 5 7 10 8 11 11 4 4 5 5 10 2 9 8 11 11 5 4 5 11 11 5 5 11 5 0 10 9 8 8 10 10 8 8 10 10 2 8 10 7 7 8 7 6 11 11 4 5 4 4 5 4 4 11 11 2 3 5 11 2 4 4 10 10 8 8 7 7 10 6 7 8 7 7 11 2 10 10 8 8 11 4 11 4 3 5 5 11 11 2 5 9 5 11 11 2 5
ppo_x50_b_fd_l4,8,qv14_16,14,94,True,389.0,1.097034215927124,8 8 10 10 8 8 9 10 8 8 11 5 10 10 7 8 8 10 10 8 8 11 5 10 10 7 8 8 1 4 3 4 11 5 4 4 11 1 9 5 4 5 11 2 10 10 7 8 8 9 5 10 10 7 7 8 8 11 5 10 10 7 7 7 7 8 8 11 4 5 4 11 5 10 2 11 9 5 5 11 4 4 4 5 4 11 0 9 5 5 10 8 10 10 7 7 7 7 7 8 5 7 7 7 7 11 2 11 11 5 5 9 5 11 11 2 5 9 8 11 11 5 2 9 8 4 4 11 11 5 2 9 7 8 4 11 5 10 10 7 7 7 8 7 8 1 9 5 11 11 5 2 9 5 7 10 10 8 2 9 5 4 11 4 4 4 5 4 4 10 10 2 6 8 7 10 10 7 8 2 9 5 7 7 0 6 7 10 10 7 8 2 9 5 4 11 5 10 10 8 8 11 5 4 11 11 5 5 11 11 5 2 9 5 7 7 11 11 2 3 4 4 5 11 11 2 5 9 8 11 5 10 10 2 7 8 9 5 10 10 8 8 10 7 8 7 11 10 7 8 2 9 10 8 8 4 11 5 11 4 11 2 3 4 4 4 5 11 11 2 3 4 5 11 2 10 6 7 7 8 7 10 10 8 8 7 10 7 7 8 4 11 2 9 11 5 5 10 7 8 11 2 4 11 9 5 5 4 4 11 11 5 4 5 10 7 8 11 11 5 5 11 2 3 10 10 8 8 11 4 5 10 10 7 7 7 2 8 10 7 6 8 10 10 8 8 11 2 10 9 5 5 7 7 7 11 11 5 5 11 5 11 5 7 7 11 11 5 4 5 10 8 11 11 4 5 5 4 10 2 9 11 5 5 7 10 10 8 8
ppo_x50_b_fd_l4,9,qv14_17,14,94,True,383.0,1.0319452285766602,8 8 9 10 8 8 10 10 8 8 11 5 10 7 10 8 8 10 10 8 8 11 5 4 11 5 7 7 7 10 10 7 7 7 8 5 10 2 9 11 4 5 5 10 8 11 2 3 4 11 5 11 11 2 3 5 4 11 11 5 2 6 11 5 11 11 5 5 0 9 5 10 7 8 10 10 8 8 10 0 9 8 5 10 7 7 8 10 10 8 2 10 9 8 8 11 4 5 1 3 4 11 4 4 4 11 2 5 9 8 4 4 4 10 10 8 8 10 7 0 10 8 8 10 8 9 8 11 11 5 5 10 7 7 10 8 8 10 10 7 8 5 1 9 5 11 11 5 5 10 8 11 11 5 5 11 11 4 5 5 10 8 10 8 4 11 11 4 4 5 8 10 2 9 8 11 11 2 3 5 10 7 8 7 10 7 10 7 8 5 11 5 7 7 7 7 7 11 11 5 2 9 5 11 4 5 11 4 11 4 5 5 4 4 4 10 10 8 2 9 8 10 7 8 4 10 10 2 8 3 10 8 7 10 10 7 8 8 1 9 5 11 5 11 11 4 5 5 4 11 11 5 2 11 5 10 9 8 8 7 10 10 8 8 10 8 10 10 8 2 3 11 5 7 10 7 10 8 8 10 2 6 11 11 2 3 4 5 4 1 4 4 9 5 11 4 11 5 4 5 10 2 7 11 11 5 5 9 8 11 10 7 8 8 11 5 10 10 7 8 7 8 7 10 10 2 8 9 5 10 10 2 8 9 5 10 10 8 7 8 1 11 9 8 8 11 11 5 4 4 1 3 4 4 4 5 11 4 5 1 3 10 10 8 8 10 10 7 8 8 10 8 11 4 5 10 10 2 8 10 10 8 8
